"","study_area","f_age_min","f_age_mean","f_age_max","f_size_min","f_size_mean","f_size_max","prop_burned"
"1","Edéhzhíe",3,27.734375,50,4.08562063275,49457.8051660519,828060.14411,0.623528607392038
"2","FortSmith",0,18.6595744680851,49,0.431333171305,18309.4822687577,593658.985135,0.788294354090689
"3","Gameti",0,26.4019607843137,51,3.10963058299,9111.38561973014,287185.435275,0.389139451393353
"4","NormanWells",0,20.1521739130435,51,3.50220222265,8612.3605475148,85614.2288188,0.225825654064252
"5","SambaaK'e",0,20.5576923076923,50,0.116244525007,21209.232719699,779882.583991,0.122108096089765
"6","ThaideneNëné",0,24.25,50,0.800777950139,9628.95538690905,377379.018143,0.204774045519183
